id,user_agent,times_seen,simple_software_string,simple_sub_description_string,simple_operating_platform_string,software,software_name,software_name_code,software_version,software_version_full,operating_system,operating_system_name,operating_system_name_code,operating_system_version,operating_system_version_full,operating_system_flavour,operating_system_flavour_code,operating_system_frameworks,operating_platform,operating_platform_code,operating_platform_vendor_name,software_type,software_sub_type,software_type_specific,hardware_type,hardware_sub_type,hardware_sub_sub_type,hardware_type_specific,layout_engine_name,layout_engine_version,extra_info,extra_info_dict,capabilities,detected_addons,first_seen_at,last_seen_at,updated_at
674,Mozilla/5.0 (Windows NT 6.1; rv:45.0) Gecko/20100101 Firefox/45.0,53035,Firefox 45 on Windows 7,,,Firefox 45,Firefox,firefox,45,45.0,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""Possibly running on Windows Server 2008 R2""]}",{},[],[],2016-02-17 09:13:58.000000,2019-09-27 21:01:03.543000,NULL
705,"Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 635) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537",24330,Internet Explorer Mobile 11 on Windows Phone 8.1,,Nokia Lumia 635,Internet Explorer Mobile 11,Internet Explorer Mobile,internet-explorer-mobile,11,11.0,Windows Phone 8.1,Windows Phone,windows-phone,8.1,8.1,,,[],Lumia 635,635,Nokia,browser,web-browser,,mobile,phone,,,Trident,"[""7"", ""0""]",{},"{""Hardware Architecture"": ""ARM""}","[""Touch capability""]",[],2015-03-27 06:05:38.000000,2019-09-27 18:33:46.000000,NULL
714,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18",41024,Safari 8 on Mac OS X (Yosemite),,,Safari 8,Safari,safari,8,8.0.3,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10.2,,,[],,,,browser,web-browser,,computer,,,,WebKit,"[""600"", ""3"", ""18""]",{},{},[],[],2015-01-27 23:38:17.000000,2019-09-27 03:00:22.732762,NULL
739,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; LCJB; rv:11.0) like Gecko,5385,Internet Explorer 11 on Windows 8.1,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},"[""Touch capability""]",[],2014-10-28 13:08:54.000000,2019-09-28 00:00:00.000000,NULL
945,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MAAU; rv:11.0) like Gecko,7100,Internet Explorer 11 on Windows 7,,Asus,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 7,Windows,windows,7,NT 6.1,,,[],,,Asus,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2013-11-23 19:36:53.000000,2019-09-26 00:00:00.000000,NULL
950,"Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; Lumia 535; Vodafone) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537",32,Internet Explorer Mobile 11 on Windows Phone 8.1,,Microsoft Lumia 535,Internet Explorer Mobile 11,Internet Explorer Mobile,internet-explorer-mobile,11,11.0,Windows Phone 8.1,Windows Phone,windows-phone,8.1,8.1,,,[],Lumia 535,,Microsoft,browser,web-browser,,mobile,phone,,,Trident,"[""7"", ""0""]",{},"{""Hardware Architecture"": ""ARM"", ""Network Provider"": ""Vodafone""}","[""Touch capability""]",[],2016-03-13 12:03:41.000000,2019-06-10 00:00:00.000000,NULL
957,"Mozilla/5.0 (iPad; CPU OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4",35840,Safari 8 on iOS 8.1,,Apple iPad,Safari 8,Safari,safari,8,8.0,iOS 8.1,iOS,ios,8.1,8.1.3,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[""600"", ""1"", ""4""]",{},"{""Mobile Build"": ""12B466""}",[],[],2015-01-28 08:36:47.000000,2019-09-28 00:00:00.000000,NULL
975,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3",47093,Safari 5.1 on iOS 5.1,,Apple iPad,Safari 5.1,Safari,safari,5.1,5.1,iOS 5.1,iOS,ios,5.1,5.1.1,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[""534"", ""46""]",{},"{""Mobile Build"": ""9B206""}",[],[],2012-05-11 13:53:08.000000,2019-09-27 18:01:11.868230,NULL
1120,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MDDCJS; rv:11.0) like Gecko,1359,Internet Explorer 11 on Windows 10,,Dell,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 10,Windows,windows,10,NT 10.0,,,[],,,Dell,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2016-03-13 12:03:44.000000,2019-09-28 15:00:36.599094,NULL
1143,Mozilla/5.0 (Windows NT 6.3; Trident/7.0; Touch; rv:11.0) like Gecko,9850,Internet Explorer 11 on Windows 8.1,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]",{},{},"[""Touch capability""]",[],2014-01-29 17:59:45.000000,2019-09-27 00:00:00.000000,NULL
1259,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko,14325,Internet Explorer 11 on Windows 8.1,,Acer,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,Acer,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2013-12-16 19:02:34.000000,2019-09-28 00:00:00.000000,NULL
1441,"Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; 909) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537",1266,Nokia Browser on Windows Phone 8.1,,Nokia,Nokia Browser,Nokia Browser,nokia-browser,,,Windows Phone 8.1,Windows Phone,windows-phone,8.1,8.1,,,[],,,Nokia,browser,web-browser,,mobile,phone,,,WebKit,"[""537""]",{},"{""Hardware Architecture"": ""ARM""}","[""Touch capability""]",[],2015-03-25 03:40:46.000000,2019-09-27 00:00:00.000000,NULL
